Closest_TSS_gene_name,cpg,Discovery Cohort p value,Validation Cohort p value
LGALS8,cg18322510,0.106260963,0.201401999
ABCA13,cg02845274,-0.106226242,-0.005017408
BARHL2,cg24453699,-0.121649592,-0.013175375
MIR124-1,cg18246262,-0.104395667,-0.035237672
TRIM36,cg14132888,-0.12250243,-0.015679645
PDGFRA,cg06973595,-0.123853666,-0.00820388
LOC154860,cg27393010,-0.105143884,-0.022308394
FOXB1,cg21253459,-0.116618633,-0.007423272
FOXA1,cg19578835,-0.102291465,-0.041247669
TAC1,cg01287975,-0.117463767,-0.043856001
PAX3,cg09424526,-0.103510489,-0.023643314
GPR39,cg12157646,0.11641631,0.047569099
AGPAT4,cg26872907,-0.101402984,-0.055329292
LRRC4C,cg17949440,-0.118979365,-0.109473393
MEIS1,cg07809589,-0.112654882,-0.070339848
ARHGEF16,cg10328768,0.100127832,0.072552715
HDGFL1,cg26230039,0.108595862,0.082285291
FLJ23152,cg24071719,-0.122071473,-0.086655997
MIR4300,cg20219053,0.102126759,0.003670257
T,cg23302682,-0.110667987,-0.074813814
FAM3B,cg09179211,-0.12805243,-0.192775285
FOXG1,cg25078444,-0.108136082,-0.086256791
SLC5A7,cg26001902,-0.128093237,-0.078948752
LOC286184,cg02197192,-0.131496753,-0.072758863
LOC145845,cg04640920,-0.104229972,-0.0247391
CCDC140,cg01841641,-0.11457814,-0.049055731
ZBTB20,cg10911004,0.102247592,0.056265206
LRRC4C,cg19849428,-0.107982538,-0.082931883
EBF2,cg08283882,-0.128930627,-0.050803918
CD38,cg15994026,-0.1129467,-0.065044448
LOC100130155,cg15715477,-0.120248214,-0.093775066
CNR2,cg26404511,-0.133541326,-0.025286023
STRA8,cg23903035,0.100686768,0.093774703
FAM207A,cg10007534,0.122571632,0.112018169
CASR,cg11008866,-0.101778571,-0.005948268
SIM2,cg21697851,-0.102721218,-0.003808892
PAX6,cg20014398,-0.123669334,-0.071197772
CBLN1,cg02809746,-0.12067204,-0.054175709
RNF175,cg18355902,-0.127193223,-0.072983821
SATB2,cg10168149,-0.100992157,-0.033436893
FOXD1,cg18063312,-0.123710303,-0.112269277
C13orf33,cg19863655,-0.114567648,-0.007977253
LOC100506274,cg06720768,-0.110638137,-0.017629099
ADCY8,cg13912117,-0.102466345,-0.013017949
TBR1,cg22794704,-0.146963066,-0.035534295
DSCR6,cg16886987,-0.117874364,-0.041160118
EVX2,cg15133351,-0.149397406,-0.073147076
GBA3,cg24512731,-0.109305439,-0.002367495
PRDM6,cg02081006,-0.128564553,-0.061857578
LOC286189,cg21479226,-0.126977073,-0.00764646
EVX2,cg14118515,-0.161092171,-0.040351889
HTR4,cg12825070,-0.100921111,-0.02310718
NR4A2,cg11856078,-0.117057633,-0.005027115
FAM3B,cg10054197,-0.11370683,-0.140763023
PRDM14,cg11229513,-0.105060394,-0.058857972
DMRT3,cg19291576,-0.139655146,-0.056317256
PKNOX2,cg03419885,-0.10178261,-0.028110402
NBLA00301,cg22517735,-0.101106774,-0.032939096
MARCH11,cg16150752,-0.107195316,-0.032418059
SLC6A5,cg02027945,-0.121277989,-0.028246951
BC031238,cg04597985,0.100089154,0.025552219
LOC100130992,cg18794404,-0.11327251,-0.021792794
EOMES,cg11642106,-0.101426562,-0.032448651
PKDCC,cg14882311,0.106489055,0.137967921
OCA2,cg04803843,-0.131031571,-0.011701048
DMRTA2,cg26560222,-0.107312272,-0.041177371
SALL1,cg08526074,-0.104205699,-0.067553727
TBX4,cg00037457,-0.113023378,-0.110347837
LINC00461,cg24804195,-0.10267268,-0.125847147
LHX9,cg06371502,-0.118464061,-0.001520448
BC062758,cg13336662,0.113254898,0.06142016
AF071167,cg21404045,-0.106598834,-0.007546355
EVX2,cg11359133,-0.11072622,-0.041995712
SLIT2,cg10947633,0.104076796,0.044516187
LHX9,cg16353957,-0.110164822,-0.032144355
OTOP1,cg03160466,-0.102578283,-0.051164749
